Accession,ID,Assay name,Assay title,Target of assay,Target gene symbol,Biosample summary,Biosample term name,Description,Lab,Project,Status,Files,Related series,Biosample accession,Biological replicate,Technical replicate,Linked antibody,Organism,Life stage,Biosample age,Biosample treatment,Biosample treatment ontology ID,Biosample treatment concentration,Biosample treatment concentration units,Biosample treatment duration,Biosample treatment duration units,Synchronization,Post-synchronization time,Post-synchronization time units,Replicates,Perturbed,Biosample type,Tissue/cell types
ENCSR000EIJ,/experiments/ENCSR000EIJ/,DNase-seq,DNase-seq,NA,NA,cerebellum male adult (27 years) and male adult (35 years),cerebellum,DNase-seq on human cerebellum,"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SFK/,/files/ENCFF000SFL/,/files/ENCFF000SFM/,/files/ENCFF000SFN/,/files/ENCFF000SFO/,/files/ENCFF000SFW/,/files/ENCFF000SFX/,/files/ENCFF001UUI/,/files/ENCFF715KKE/,/files/ENCFF133QRO/,/files/ENCFF732MQW/,/files/ENCFF609BMS/,/files/ENCFF690ZWE/,/files/ENCFF873QHE/,/files/ENCFF552LIR/,/files/ENCFF966DRW/,/files/ENCFF736SHD/,/files/ENCFF692NNB/,/files/ENCFF593TPX/,/files/ENCFF858GRC/,/files/ENCFF066UMR/,/files/ENCFF937SIE/,/files/ENCFF038CYT/,/files/ENCFF952ETG/,/files/ENCFF455ZGC/,/files/ENCFF970LQM/,/files/ENCFF645RWU/,/files/ENCFF782BOY/,/files/ENCFF135BWD/,/files/ENCFF015NLJ/,/files/ENCFF035AWO/,/files/ENCFF837BMA/,/files/ENCFF511XVP/,/files/ENCFF836MKB/,/files/ENCFF833POA/,/files/ENCFF112EOM/,/files/ENCFF120YMD/,/files/ENCFF873JCF/,/files/ENCFF447UOZ/,/files/ENCFF142VNE/,/files/ENCFF893GVI/,/files/ENCFF292CDE/,/files/ENCFF806QPF/,/files/ENCFF845SGH/,/files/ENCFF745KWT/,/files/ENCFF021BSX/,/files/ENCFF174VNL/,/files/ENCFF761IPU/,/files/ENCFF481DEX/,/files/ENCFF513TVG/,/files/ENCFF115WLO/,/files/ENCFF876VGE/,/files/ENCFF045AAR/,/files/ENCFF639UUB/,/files/ENCFF706FUJ/,/files/ENCFF949LPH/,/files/ENCFF665JVG/,/files/ENCFF229QEX/",NA,"ENCBS012ENC,ENCBS013ENC",12,1,NA,Homo sapiens,adult,"35 years,27 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/28806b99-bc95-43f7-9792-b59baf13604c/,/replicates/4e061d14-de43-46c9-b0d2-d6f424cc5221/",FALSE,tissue,Brain
ENCSR000EIK,/experiments/ENCSR000EIK/,DNase-seq,DNase-seq,NA,NA,frontal cortex male adult (27 years) and male adult (35 years),frontal cortex,DNase-seq on human cerebrum frontal,"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SFQ/,/files/ENCFF000SFR/,/files/ENCFF000SFT/,/files/ENCFF000SFU/,/files/ENCFF000SFV/,/files/ENCFF000SGJ/,/files/ENCFF000SGL/,/files/ENCFF001UUJ/,/files/ENCFF971LZJ/,/files/ENCFF177LCP/,/files/ENCFF855HES/,/files/ENCFF443BIH/,/files/ENCFF859EWM/,/files/ENCFF041OQU/,/files/ENCFF738SQY/,/files/ENCFF255NTQ/,/files/ENCFF988LXN/,/files/ENCFF460XCY/,/files/ENCFF200HZV/,/files/ENCFF871SFH/,/files/ENCFF525QSN/,/files/ENCFF830FWC/,/files/ENCFF144EGT/,/files/ENCFF281ASO/,/files/ENCFF342SXM/,/files/ENCFF122IXS/,/files/ENCFF673YZL/,/files/ENCFF271VDP/,/files/ENCFF774MMU/,/files/ENCFF644QVD/,/files/ENCFF524VVA/,/files/ENCFF179GMG/,/files/ENCFF231BDP/,/files/ENCFF991JUW/,/files/ENCFF110QGM/,/files/ENCFF423SVU/,/files/ENCFF307CRF/,/files/ENCFF301AOO/,/files/ENCFF645PTC/,/files/ENCFF888SDH/,/files/ENCFF719AOJ/,/files/ENCFF115VAE/,/files/ENCFF092NAO/,/files/ENCFF246RTJ/,/files/ENCFF535JHD/,/files/ENCFF614PRQ/,/files/ENCFF376UBI/,/files/ENCFF780XDM/,/files/ENCFF961XGT/,/files/ENCFF954LPL/,/files/ENCFF839BDR/,/files/ENCFF984XDD/,/files/ENCFF318UBZ/,/files/ENCFF175SSY/,/files/ENCFF046IRY/,/files/ENCFF089HIH/,/files/ENCFF382YHN/,/files/ENCFF134NVT/",NA,"ENCBS155AAA,ENCBS156AAA",12,1,NA,Homo sapiens,adult,"35 years,27 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/90b1fc71-217c-463d-8978-7296c325c1c8/,/replicates/044fdca5-0435-4639-b75e-d0bbc0a7da59/",FALSE,tissue,Brain
ENCSR000EIL,/experiments/ENCSR000EIL/,DNase-seq,DNase-seq,NA,NA,chorion,chorion,Duke human Chorion DNase-seq,"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000ACU/,/files/ENCFF000SFY/,/files/ENCFF000SFZ/,/files/ENCFF000SGA/,/files/ENCFF000SGB/,/files/ENCFF000SGC/,/files/ENCFF000SGD/,/files/ENCFF000SGE/,/files/ENCFF001SOH/,/files/ENCFF001UUK/,/files/ENCFF593JBN/,/files/ENCFF270JYA/,/files/ENCFF525SNY/,/files/ENCFF436VVS/,/files/ENCFF913HCF/,/files/ENCFF675NWS/,/files/ENCFF406NXY/,/files/ENCFF772FRH/,/files/ENCFF350WFN/,/files/ENCFF577CVT/,/files/ENCFF389UMJ/,/files/ENCFF351MUE/,/files/ENCFF795BKQ/,/files/ENCFF200JVK/,/files/ENCFF268ZNF/,/files/ENCFF880MKD/,/files/ENCFF687UHE/,/files/ENCFF406WZN/,/files/ENCFF395OBW/,/files/ENCFF789UJQ/,/files/ENCFF144FTX/,/files/ENCFF837FVN/,/files/ENCFF795HYU/,/files/ENCFF113DRH/,/files/ENCFF982GFS/,/files/ENCFF987DPM/",NA,ENCBS121AAA,1,21,NA,Homo sapiens,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/322158e4-485f-4cd8-b0e3-c31fe4a21d77/,/replicates/eb21af10-21cc-4a5e-ae3d-9e967d775c63/",FALSE,tissue,"NA"
ENCSR000EIP,/experiments/ENCSR000EIP/,DNase-seq,DNase-seq,NA,NA,Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour,Ishikawa,"DNase-seq on human ECC-1 treated with dimethyl sulfoxide at 0.02%. Note: This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432677/).","Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SGW/,/files/ENCFF000SGS/,/files/ENCFF000SGT/,/files/ENCFF000SGU/,/files/ENCFF000SGV/,/files/ENCFF000SHB/,/files/ENCFF000SHL/,/files/ENCFF001UUN/,/files/ENCFF692MSQ/,/files/ENCFF202HIH/,/files/ENCFF177UIJ/,/files/ENCFF513TAG/,/files/ENCFF855FJP/,/files/ENCFF627AAK/,/files/ENCFF031HLE/,/files/ENCFF021JPL/,/files/ENCFF240ZYT/,/files/ENCFF830PTL/,/files/ENCFF303HMZ/,/files/ENCFF463ZLQ/,/files/ENCFF066BXX/,/files/ENCFF992XUO/,/files/ENCFF120EHC/,/files/ENCFF927DQZ/,/files/ENCFF832KMA/,/files/ENCFF984NEY/,/files/ENCFF936CBL/,/files/ENCFF319YDU/,/files/ENCFF547NJT/,/files/ENCFF683XJW/,/files/ENCFF819QAE/,/files/ENCFF427LGC/,/files/ENCFF919KGY/,/files/ENCFF388KFO/",NA,ENCBS862NRL,1,12,NA,Homo sapiens,adult,39 years,dimethyl sulfoxide,CHEBI:28262,NA,NA,1,hour,NA,NA,NA,"/replicates/2f4912b6-9ce2-46c6-8907-c306d8a331e6/,/replicates/13db9005-3701-4391-a364-10e377475807/",TRUE,cell line,"NA"
ENCSR000EIS,/experiments/ENCSR000EIS/,DNase-seq,DNase-seq,NA,NA,GM03348,GM03348,DNase-seq on human fibroblast (GM03348),"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SHN/,/files/ENCFF000SHO/,/files/ENCFF000SHP/,/files/ENCFF000SIB/,/files/ENCFF000SIE/,/files/ENCFF000SIN/,/files/ENCFF000SIS/,/files/ENCFF001UUS/,/files/ENCFF896VVT/,/files/ENCFF713FDC/,/files/ENCFF608WCB/,/files/ENCFF742GMW/,/files/ENCFF160DIK/,/files/ENCFF395ATC/,/files/ENCFF433TAY/,/files/ENCFF112TOV/,/files/ENCFF333MCA/,/files/ENCFF951BAM/,/files/ENCFF152VFN/,/files/ENCFF214GKJ/,/files/ENCFF890OGQ/,/files/ENCFF125CLJ/,/files/ENCFF939GTK/,/files/ENCFF131CMS/,/files/ENCFF624DKJ/,/files/ENCFF911XOO/,/files/ENCFF809RAA/,/files/ENCFF548EBY/,/files/ENCFF345DCX/,/files/ENCFF881TXW/,/files/ENCFF079IDY/,/files/ENCFF629AYC/,/files/ENCFF138AUC/,/files/ENCFF528EZR/",/organism-development-series/ENCSR694TIR/,ENCBS285AAA,1,21,NA,Homo sapiens,child,10 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/539bff40-f923-448b-bc97-d91d04779745/,/replicates/a7422ffd-ec95-481a-a636-14c8f7a43732/",FALSE,cell line,Skin
ENCSR000EIT,/experiments/ENCSR000EIT/,DNase-seq,DNase-seq,NA,NA,GM03348 genetically modified using transduction treated with 3 μg/mL doxycycline for 10 days,GM03348,DNase-seq on human fibroblast (GM03348) treated with lentiviral MyoD,"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SHW/,/files/ENCFF000SHX/,/files/ENCFF000SHY/,/files/ENCFF000SHZ/,/files/ENCFF000SIA/,/files/ENCFF000SIH/,/files/ENCFF000SIM/,/files/ENCFF001UUR/,/files/ENCFF750URW/,/files/ENCFF424JYI/,/files/ENCFF580XEW/,/files/ENCFF342RPS/,/files/ENCFF563SHX/,/files/ENCFF410KGX/,/files/ENCFF144TWK/,/files/ENCFF760LBY/,/files/ENCFF829XQF/,/files/ENCFF081BNZ/,/files/ENCFF040JQD/,/files/ENCFF486QFC/,/files/ENCFF673LNN/,/files/ENCFF097CSM/,/files/ENCFF996AEF/,/files/ENCFF148RPF/,/files/ENCFF850CSL/,/files/ENCFF305FRF/,/files/ENCFF002FXK/,/files/ENCFF487RVX/,/files/ENCFF255DTR/,/files/ENCFF319ROP/,/files/ENCFF882AZH/,/files/ENCFF737TIG/,/files/ENCFF942JEG/,/files/ENCFF277DIE/",NA,ENCBS558ENC,1,12,NA,Homo sapiens,child,10 years,doxycycline,CHEBI:50845,NA,NA,10,day,NA,NA,NA,"/replicates/0ba9f956-d23f-4bb8-b7c9-adb1858554b3/,/replicates/2147404e-2ec5-446c-be74-1704f9b4ecbc/",TRUE,cell line,Skin
ENCSR000EIV,/experiments/ENCSR000EIV/,DNase-seq,DNase-seq,NA,NA,AG08395,AG08395,DNase-seq on human FibroP (AG08395),"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SIO/,/files/ENCFF000SIP/,/files/ENCFF000SIQ/,/files/ENCFF000SIR/,/files/ENCFF000SIT/,/files/ENCFF000SIU/,/files/ENCFF000SIW/,/files/ENCFF000SJB/,/files/ENCFF000SJK/,/files/ENCFF001UUU/,/files/ENCFF686LPQ/,/files/ENCFF778MMP/,/files/ENCFF719VYO/,/files/ENCFF864WWW/,/files/ENCFF959FXN/,/files/ENCFF548PGS/,/files/ENCFF340EIT/,/files/ENCFF501DLG/,/files/ENCFF553HKA/,/files/ENCFF309AFW/,/files/ENCFF166URY/,/files/ENCFF097NUZ/,/files/ENCFF295UTR/,/files/ENCFF443HIW/,/files/ENCFF535BNN/,/files/ENCFF323PDY/,/files/ENCFF510SQT/,/files/ENCFF660YSU/,/files/ENCFF475VKT/,/files/ENCFF871SGR/,/files/ENCFF624OXE/,/files/ENCFF558PWQ/,/files/ENCFF483KCI/,/files/ENCFF027BPD/,/files/ENCFF599ZHC/,/files/ENCFF791NON/,/files/ENCFF609EEP/,/files/ENCFF377XMZ/,/files/ENCFF193ZHZ/,/files/ENCFF588YQZ/,/files/ENCFF357MZL/","/matched-sets/ENCSR036ZLG/,/organism-development-series/ENCSR694TIR/",ENCBS287AAA,1,231,NA,Homo sapiens,adult,85 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/c02723b6-c780-42c9-9155-dfad3b47e4bb/,/replicates/496783be-0695-427c-905a-683aa08d8f15/,/replicates/418796ec-71a2-4966-8e67-cead2ee194ab/",FALSE,cell line,"NA"
ENCSR000EIW,/experiments/ENCSR000EIW/,DNase-seq,DNase-seq,NA,NA,AG08396,AG08396,DNase-seq on human FibroP (AG08396),"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SIV/,/files/ENCFF000SIX/,/files/ENCFF000SIY/,/files/ENCFF000SIZ/,/files/ENCFF000SJA/,/files/ENCFF000SJC/,/files/ENCFF000SJD/,/files/ENCFF000SJF/,/files/ENCFF000SJL/,/files/ENCFF001UUV/,/files/ENCFF713ECL/,/files/ENCFF739YIT/,/files/ENCFF328XMN/,/files/ENCFF026WBB/,/files/ENCFF045TLY/,/files/ENCFF044WDV/,/files/ENCFF416VOW/,/files/ENCFF829AMH/,/files/ENCFF752HCY/,/files/ENCFF467WLQ/,/files/ENCFF352PKJ/,/files/ENCFF274PQL/,/files/ENCFF725RPO/,/files/ENCFF929AOB/,/files/ENCFF565KMM/,/files/ENCFF600AQO/,/files/ENCFF544XWR/,/files/ENCFF787MSC/,/files/ENCFF440SJJ/,/files/ENCFF931AEM/,/files/ENCFF882JXQ/,/files/ENCFF454HEQ/,/files/ENCFF236XHR/,/files/ENCFF181XVE/,/files/ENCFF364PGN/,/files/ENCFF831PKZ/,/files/ENCFF903VVW/,/files/ENCFF521FRL/,/files/ENCFF784OVJ/,/files/ENCFF182GPK/,/files/ENCFF064GGH/","/matched-sets/ENCSR036ZLG/,/organism-development-series/ENCSR694TIR/",ENCBS288AAA,1,132,NA,Homo sapiens,adult,85 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/27904f3e-38ad-4f16-bff0-617376f9211c/,/replicates/f52e5baf-23b4-4715-a76c-6943ff871abd/,/replicates/db6f4725-a44d-4dfd-a9e7-be38fd53b410/",FALSE,cell line,"NA"
ENCSR000EIX,/experiments/ENCSR000EIX/,DNase-seq,DNase-seq,NA,NA,AG20443,AG20443,DNase-seq on human FibroP (AG20443),"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SJE/,/files/ENCFF000SJG/,/files/ENCFF000SJH/,/files/ENCFF000SJI/,/files/ENCFF000SJJ/,/files/ENCFF000SJM/,/files/ENCFF000SJN/,/files/ENCFF000SJT/,/files/ENCFF000SJU/,/files/ENCFF001UUW/,/files/ENCFF990WRB/,/files/ENCFF538RWR/,/files/ENCFF799KHU/,/files/ENCFF800NPH/,/files/ENCFF571RCE/,/files/ENCFF948LVM/,/files/ENCFF563KBU/,/files/ENCFF435XEF/,/files/ENCFF498QCJ/,/files/ENCFF412PWD/,/files/ENCFF609RHR/,/files/ENCFF165YJX/,/files/ENCFF767SQD/,/files/ENCFF739ENN/,/files/ENCFF380YOG/,/files/ENCFF352WJZ/,/files/ENCFF114GWU/,/files/ENCFF568LMQ/,/files/ENCFF527YZV/,/files/ENCFF992CKW/,/files/ENCFF335PLE/,/files/ENCFF842PPP/,/files/ENCFF174JLV/,/files/ENCFF759RCL/,/files/ENCFF900VWI/,/files/ENCFF116ODN/,/files/ENCFF401UBI/,/files/ENCFF469ORX/,/files/ENCFF385DPJ/,/files/ENCFF377NNN/,/files/ENCFF258JZX/","/matched-sets/ENCSR036ZLG/,/organism-development-series/ENCSR694TIR/",ENCBS289AAA,1,321,NA,Homo sapiens,adult,71 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/3b24d4d4-5bca-4d25-a10d-0037835350b7/,/replicates/906e75f9-36e7-486c-90b4-c236f6d45ae1/,/replicates/eccb78a2-229f-4996-b00c-176f1201c7e7/",FALSE,cell line,"NA"
ENCSR000EIY,/experiments/ENCSR000EIY/,DNase-seq,DNase-seq,NA,NA,frontal cortex female adult (67 years) and female adult (80 years),frontal cortex,DNase-seq on human frontal cortex,"Gregory Crawford, Duke",ENCODE,released,"/files/ENCFF000SJO/,/files/ENCFF000SJP/,/files/ENCFF000SJQ/,/files/ENCFF000SJR/,/files/ENCFF000SJS/,/files/ENCFF000SKA/,/files/ENCFF000SKE/,/files/ENCFF001UUX/,/files/ENCFF979EYR/,/files/ENCFF246IHY/,/files/ENCFF631HBT/,/files/ENCFF606DFV/,/files/ENCFF855XCW/,/files/ENCFF271ELV/,/files/ENCFF826UZC/,/files/ENCFF611EHQ/,/files/ENCFF225WSS/,/files/ENCFF678XFX/,/files/ENCFF861YPP/,/files/ENCFF674FJE/,/files/ENCFF906RLV/,/files/ENCFF790BNF/,/files/ENCFF021GFQ/,/files/ENCFF683EPP/,/files/ENCFF101NVD/,/files/ENCFF962RQB/,/files/ENCFF463WAD/,/files/ENCFF661TYD/,/files/ENCFF163UAB/,/files/ENCFF086HUL/,/files/ENCFF380NUK/,/files/ENCFF239FUJ/,/files/ENCFF149HKU/,/files/ENCFF685MZL/,/files/ENCFF822MFO/,/files/ENCFF586FHL/,/files/ENCFF483BPG/,/files/ENCFF776GIO/,/files/ENCFF157PNW/,/files/ENCFF064VZR/,/files/ENCFF095CZD/,/files/ENCFF840NPU/,/files/ENCFF160ULA/,/files/ENCFF341QKK/,/files/ENCFF044ONJ/,/files/ENCFF962HYU/,/files/ENCFF013YIZ/,/files/ENCFF333DJM/,/files/ENCFF584HTG/,/files/ENCFF165HSC/,/files/ENCFF420QAT/,/files/ENCFF317IEZ/,/files/ENCFF518CXV/,/files/ENCFF104NYW/,/files/ENCFF252REX/,/files/ENCFF550AOM/,/files/ENCFF860LAZ/,/files/ENCFF176GSM/",NA,"ENCBS129AAA,ENCBS128AAA",21,1,NA,Homo sapiens,adult,"67 years,80 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/replicates/2a3ca479-a08b-44a3-b915-c98d93295d8b/,/replicates/b99db6c1-c7cc-4dba-9223-e04befd64d99/",FALSE,tissue,Brain
