hid	gene_spearman	human_gene_symbols	mouse_gene_symbols	gene_spearman_pval_adj	high_gene_spearman	gene_hk_pct	gene_hk_pval_adj	high_gene_housekeeping	human_gene_mean_anchors	mouse_gene_mean_anchors	human_gene_var_std_anchors	mouse_gene_var_std_anchors
3	0.3240480357814686	ACADM	Acadm	0.17716102212984472	FALSE	0.5017985611510791	0.19241939373297	FALSE	93.58496620210353	177.22990500209124	0.8088187495460109	3.788591232965217
5	0.3607082106472015	ACADVL	Acadvl	0.14892412231030577	FALSE	0.5967741935483871	0.1580223096885813	FALSE	746.5776452119876	157.3769168344432	1.6247243615528928	2.8065463265691415
6	0.31835204109025506	ACAT1	Acat1	0.18176407570527317	FALSE	0.685251798561151	0.125961711409396	FALSE	175.19983606899982	149.5100245319265	3.033531468017412	1.4640615372289785
7	0.34390328095008044	ACVR1	Acvr1	0.160520031838684	FALSE	0	0.728756	FALSE	20.703679085479827	10.709760942293148	0.3792518716603548	0.3375913948003072
9	0.4973767397854452	SGCA	Sgca	0.07483601669648181	TRUE	0.04838709677419355	0.6244438244904309	FALSE	28.122413208557923	24.748878085534074	7.810502538413658	6.512372487315384
12	0.5311343736354276	ADSL	Adsl	0.058198977585528895	TRUE	0.6612903225806451	0.13350477319587628	FALSE	104.85742532396858	101.8003034671564	0.42945927800928846	0.6439974612951372
13	0.28834608453955074	AGA	Aga	0.20299625468164795	FALSE	0.03763440860215054	0.6590493525586655	FALSE	23.44558410046055	27.228557579813184	0.30848405065740636	0.394682471047496
14	0.6336211536143814	AGT	Agt	0.01591187270501836	TRUE	0.10971223021582734	0.4844697345132743	FALSE	186.88671334304462	67.66495595915374	14.258141431923535	9.960768262241833
16	0.10616057306119825	ALAD	Alad	0.4484947924097589	FALSE	0.10251798561151079	0.4920772552910053	FALSE	42.081711391811055	240.2175285610211	0.9810476148512783	6.290861594733793
17	0.18855684583512486	ALAS2	Alas2	0.32007174302951247	FALSE	0.06294964028776978	0.5891000169262017	FALSE	33.060139764018224	307.526688930609	9.427494030782558	11.104834912734642
20	0.1921003563773784	AMPD1	Ampd1	0.3149761630774289	FALSE	0.010752688172043012	0.728756	FALSE	3.160024613556581	3.5772295171662325	3.437112275924164	3.531253725783259
26	0.4283393506936848	APOH	Apoh	0.10289264220539701	FALSE	0.048561151079136694	0.6244438244904309	FALSE	425.9148360957613	181.0307583477735	14.987569008229073	18.641876435578585
27	0.5008869085595439	FAS	Fas	0.07483601669648181	TRUE	0.03225806451612903	0.6784540561122245	FALSE	21.96108270622617	13.681622787966507	1.333545405809478	1.2274746718746532
28	0.43288367053131205	AR	Ar	0.1009861932938856	FALSE	0.00539568345323741	0.728756	FALSE	6.432269571048759	4.2162247295123905	0.5748893336968554	2.610299667473021
29	0.344533497397756	ARG1	Arg1	0.16048397819438903	FALSE	0.03237410071942446	0.6784540561122245	FALSE	53.75562762267966	67.46617336479532	22.271502208893107	16.773942764185197
32	0.30830041348957826	ASL	Asl	0.18686868686868685	FALSE	0.1827956989247312	0.3847025	FALSE	57.33823045281443	73.9406301763777	1.7480588486465884	3.8523204507579307
33	0.5050934508223792	ASPA	Aspa	0.07463154593916589	TRUE	0.01079136690647482	0.728756	FALSE	6.520604101478753	17.501590003193478	1.0250012358812377	5.209635943503123
35	0.32822260326257086	ATP7A	Atp7a	0.17334494773519166	FALSE	0	0.728756	FALSE	8.9935319238861	17.277026567797538	0.16729477167068132	0.5879947547147907
39	0.2837747120148155	BCKDHB	Bckdhb	0.20836855452240066	FALSE	0.008992805755395683	0.728756	FALSE	22.98683634100403	46.809520326406336	0.3422994539151667	0.65025938555872
41	0.44728016361438777	BRCA2	Brca2	0.09542398612014748	TRUE	0	0.728756	FALSE	7.291171564740938	8.66326397607487	0.3197690668669292	0.6769055010170804
44	0.6344013446703772	SERPING1	Serping1	0.01591187270501836	TRUE	0.34408602150537637	0.26650068552253114	FALSE	237.53701382342416	131.83649366196073	6.096429505264003	3.2469564348639666
45	0.4468073596049	C2	C2	0.09567440869379927	TRUE	0.06989247311827956	0.564309522673031	FALSE	43.474313525673644	17.642417005164333	6.851047348538999	1.195315987280837
47	0.5217087669446806	C6	C6	0.06326825741142443	TRUE	0.005376344086021506	0.728756	FALSE	29.00646933173895	3.954784935733423	12.696488300047134	1.5453738036416018
48	0.3652163344477295	C8B	C8b	0.14646464646464644	FALSE	0.014388489208633094	0.728756	FALSE	21.98063452697314	13.465641672900487	18.88152889998619	7.679060435009922
52	0.15043237517622246	CAPN3	Capn3	0.3750759416767922	FALSE	0.021505376344086023	0.7214771682960893	FALSE	39.01602039513421	7.190254296577836	5.853748109541109	1.9857230481369708
55	0.4790914911175478	CD3G	Cd3g	0.08047493403693931	TRUE	0.02697841726618705	0.7000906056426333	FALSE	14.756555514028564	41.06231205828312	10.338902125710916	16.915350966783066
56	0.2754559073020766	CD40LG	Cd40lg	0.21575483340189225	FALSE	0	0.728756	FALSE	1.908481251663953	0.48852131899485857	1.8808789475260428	1.349417593611457
59	0.17482592896162852	CHRNA1	Chrna1	0.3380069708491762	FALSE	0.016129032258064516	0.728756	FALSE	17.406196810178248	5.8389592132864285	7.073409107143221	5.805254497728384
60	0.21260942355317164	CHRNE	Chrne	0.28795180722891567	FALSE	0.0035971223021582736	0.728756	FALSE	2.793717695069266	2.5143898538344622	3.258777588831306	3.523548200159773
61	0.29892885436406225	LYST	Lyst	0.19378895814781835	FALSE	0.026881720430107527	0.7000906056426333	FALSE	30.97649025032914	13.43858339270978	1.9308954576659563	2.865967475526562
62	0.4843049525481426	ERCC8	Ercc8	0.08018483283500952	TRUE	0.005376344086021506	0.728756	FALSE	18.48009708672732	16.23195601357992	0.26765901978540796	0.23304899963847497
63	0.014924391072662897	CLCN1	Clcn1	0.6133865480240774	FALSE	0	0.728756	FALSE	0.6894118911908265	1.610920434986599	2.03267910576574	0.4022828373890479
65	0.3973534950062251	CLCNKB	Clcnka	0.12097447021525112	FALSE	0.016129032258064516	0.728756	FALSE	6.171818618585103	2.8023811576949242	4.230128335223346	2.5287987222254604
69	0.6062790714479916	COL1A2	Col1a2	0.027192982456140352	TRUE	0.5806451612903226	0.1655680216126351	FALSE	918.2837853760427	377.4968539480009	6.983464472191451	4.123750685391626
73	0.3046001133707666	COL7A1	Col7a1	0.1901360544217687	FALSE	0	0.728756	FALSE	28.76948613219123	3.926677059295906	5.933978001280213	0.462832424481696
74	0.33717981349961507	COMP	Comp	0.16555183946488294	FALSE	0.026881720430107527	0.7000906056426333	FALSE	6.85426655537799	5.478805196757336	1.8943723132103842	2.945989075641405
75	0.49571359494063877	CP	Cp	0.0759007678676905	TRUE	0.06474820143884892	0.5751437676304655	FALSE	115.28743892876626	51.85670568203524	20.31486627874243	11.333871768496257
76	0.2941137786198622	CPOX	Cpox	0.1971384884228921	FALSE	0.05935251798561151	0.5891000169262017	FALSE	28.393867062079433	115.43725844542631	0.8349918183840412	5.824822818618635
77	0.41491872663161533	CPT2	Cpt2	0.10924824229313142	FALSE	0.03237410071942446	0.6784540561122245	FALSE	23.95467753511525	92.94246640182502	0.7682276875039882	1.849631158690573
78	0.34570625134616945	CST3	Cst3	0.15965825657455612	FALSE	0.9280575539568345	0.03689730909090909	TRUE	771.6336353715292	786.1099350827775	2.427228082580966	0.7470598091444923
79	0.19113836806758006	CSTB	Cstb	0.31598360655737706	FALSE	0.4028776978417266	0.23803773391022173	FALSE	87.43953230178089	224.5041729981315	4.182854246831911	1.779520688771062
80	0.5172163956614827	CYBA	Cyba	0.0650887573964497	TRUE	0.6720430107526881	0.12960888650963595	FALSE	246.873762309478	303.6662761235643	1.8700794197188177	4.226964663064848
83	0.06495293846955785	DDB2	Ddb2	0.5187627464309994	FALSE	0.016129032258064516	0.728756	FALSE	41.10281242344601	20.63793059917949	0.876815768825619	0.4925806630234799
